ID,Exercise,Type,Flexibility,Fitness,Unilateral,Compoundness,Duration,Active,Home,Pecs,Lats,Traps,Rhomboids,Lower back,Side delts,Front delts,Rear delts,Biceps,Triceps,Forearms,Front abs,Deep abs,Obliques,Quads,Hamstrings,Glutes,Calves,Adductors,Abductors
54,Dumbbell shoulder shrugs,Lift,0,0,1,1,7,1,1,,,1,,,,,,,,0.5,,,,,,,,,
55,Egyptian cable lateral raises,Lift,0,0,1,1,7,,,,,,,,1,0.5,,,,,,,,,,,,,
56,Standing cable reverse flyes,Lift,0,0,0,1,7,1,,,,0.5,0.9,,,,1,,,,,,,,,,,,
57,Cable triceps extensions,Lift,0,0,0,1,7,1,,,,,,,,,,,1,,,,,,,,,,
58,Skull crushers,Lift,0,0,0,1,7,1,1,,,,,,,,,,1,,,,,,,,,,
59,Triceps dips,Lift,0,0,0,3,7,1,1,0.5,,,,,,,,,1,,,,,,,,,,
60,Cycling HIIT 15m,Cardio,0,4,0,2,20,,,,,,,,,,,,,,,,,1,0.8,0.7,1,,
61,Cycling SS 10m,Cardio,0,3,0,2,15,1,,,,,,,,,,,,,,,,1,0.8,0.7,1,,
62,Cycling SS 5m,Cardio,0,2,0,2,10,1,,,,,,,,,,,,,,,,1,0.8,0.7,1,,
63,Lateral elliptical HIIT 15m,Cardio,0,4,0,3,20,,,,,,,,,,,,,,,,,1,0.7,0.8,0.7,0.8,0.8
64,Lateral elliptical SS 10m,Cardio,0,3,0,3,15,,,,,,,,,,,,,,,,,1,0.7,0.8,0.7,0.8,0.8
65,Lateral elliptical SS 5m,Cardio,0,2,0,3,10,,,,,,,,,,,,,,,,,1,0.7,0.8,0.7,0.8,0.8
66,Rowing HIIT 15m,Cardio,0,5,0,5,20,,,,1,0.7,0.7,0.7,,,,0.5,,0.7,,0.5,,0.7,0.7,0.9,,,
67,Rowing SS 10m,Cardio,0,3,0,5,15,1,,,1,0.7,0.7,0.7,,,,0.5,,0.7,,0.5,,0.7,0.7,0.9,,,
68,Rowing SS 5m,Cardio,0,2,0,5,10,1,,,1,0.7,0.7,0.7,,,,0.5,,0.7,,0.5,,0.7,0.7,0.9,,,
69,Running HIIT 15m,Cardio,0,5,0,4,20,,,,,,,,,,,,,,,,,1,0.7,0.7,1,,
70,Running SS 10m,Cardio,0,3,0,4,15,1,,,,,,,,,,,,,,,,1,0.7,0.7,1,,
71,Running SS 20m,Cardio,0,4,0,4,25,1,,,,,,,,,,,,,,,,1,0.7,0.7,1,,
72,Stair climbing HIIT 15m,Cardio,0,4,0,3,20,,,,,,,,,,,,,,,,,1,0.7,0.7,1,0.5,
73,Stair climbing SS 10m,Cardio,0,3,0,3,15,,,,,,,,,,,,,,,,,1,0.7,0.7,1,0.5,
74,Stair climbing SS 5m,Cardio,0,2,0,3,10,,,,,,,,,,,,,,,,,1,0.7,0.7,1,0.5,
75,Bodyweight hip thrusts,Lift,0,0,0,3,7,,1,,,,,0.5,,,,,,,,0.5,,,0.8,1,,,
76,Bodyweight squats,Lift,0,0,0,5,7,1,1,,,,,0.5,,,,,,,,0.5,,0.8,0.7,0.9,0.5,0.5,
